Date,precipitation,rank,anomaly,palmer z-index
September-November 1895,7.69,107,-3.35,-1.37
September-November 1896,9.78,75,-1.26,-0.23
September-November 1897,8.89,88,-2.15,-0.28
September-November 1898,14.16,21,3.12,1.18
September-November 1899,10.13,70,-0.91,-0.08
September-November 1900,9.75,76,-1.29,-1.1
September-November 1901,8.01,102,-3.03,-0.23
September-November 1902,13.9,23,2.86,1.53
September-November 1903,12.58,33,1.54,1.55
September-November 1904,10.7,64,-0.34,0.78
September-November 1905,9.47,77,-1.57,-0.02
September-November 1906,8.46,96,-2.58,-0.28
September-November 1907,17.81,3,6.77,2.87
September-November 1908,5.65,124,-5.39,-1.81
September-November 1909,7.05,113,-3.99,-1.66
September-November 1910,9.25,84,-1.79,-0.91
September-November 1911,13.13,30,2.09,1.5
September-November 1912,10.66,65,-0.38,-0.17
September-November 1913,13.8,26,2.76,0.99
September-November 1914,4.54,128,-6.5,-2.6
September-November 1915,6.59,119,-4.45,-1.08
September-November 1916,6.13,121,-4.91,-1.87
September-November 1917,10.62,66,-0.42,0.67
September-November 1918,7.03,115,-4.01,-1.61
September-November 1919,10.05,71,-0.99,0.15
September-November 1920,9.85,73,-1.19,0.04
September-November 1921,7.37,111,-3.67,-1.73
September-November 1922,4.24,129,-6.8,-2.07
September-November 1923,10.21,69,-0.83,-0.48
September-November 1924,7.78,105,-3.26,-0.65
September-November 1925,10.74,61,-0.3,0.42
September-November 1926,12.11,42,1.07,1.2
September-November 1927,13.51,28,2.47,1.45
September-November 1928,7.72,106,-3.32,-0.55
September-November 1929,11.87,46,0.83,0.26
September-November 1930,7.05,113,-3.99,-1.77
September-November 1931,5.45,125,-5.59,-2.23
September-November 1932,15.65,12,4.61,1.45
September-November 1933,8.33,97,-2.71,-0.24
September-November 1934,13.81,24,2.77,1.21
September-November 1935,16.47,6,5.43,2.25
September-November 1936,8.56,94,-2.48,-0.83
September-November 1937,12.04,44,1,0.88
September-November 1938,15.28,15,4.24,1.82
September-November 1939,7.5,109,-3.54,-1.08
September-November 1940,11.09,56,0.05,0.64
September-November 1941,4.96,126,-6.08,-2.52
September-November 1942,11.84,48,0.8,0.87
September-November 1943,12.02,45,0.98,0.53
September-November 1944,16.01,9,4.97,1.6
September-November 1945,12.15,40,1.11,0.85
September-November 1946,6.36,120,-4.68,-1.36
September-November 1947,10.72,63,-0.32,-0.56
September-November 1948,8.12,101,-2.92,-0.92
September-November 1949,8.22,99,-2.82,-1.59
September-November 1950,10.76,60,-0.28,-0.02
September-November 1951,12.52,34,1.48,0.41
September-November 1952,9.42,80,-1.62,0.02
September-November 1953,8.2,100,-2.84,-1.36
September-November 1954,12.48,35,1.44,0.43
September-November 1955,11.84,48,0.8,0.99
September-November 1956,11.46,53,0.42,0.63
September-November 1957,9.82,74,-1.22,-1.22
September-November 1958,12.06,43,1.02,1.11
September-November 1959,10.9,57,-0.14,-0.01
September-November 1960,12.13,41,1.09,0.83
September-November 1961,7.95,103,-3.09,-1.41
September-November 1962,10.9,57,-0.14,0.16
September-November 1963,11.58,52,0.54,-0.51
September-November 1964,7.11,112,-3.93,-2.04
September-November 1965,6.08,122,-4.96,-2.28
September-November 1966,15.09,18,4.05,1.6
September-November 1967,6.69,117,-4.35,-0.73
September-November 1968,9.36,81,-1.68,-1.26
September-November 1969,9.27,82,-1.77,-0.19
September-November 1970,10.82,59,-0.22,-0.66
September-November 1971,15.7,11,4.66,1.89
September-November 1972,16.54,5,5.5,1.93
September-November 1973,8.69,91,-2.35,-1.1
September-November 1974,9.26,83,-1.78,-0.09
September-November 1975,15.53,14,4.49,1.8
September-November 1976,9.45,78,-1.59,0.02
September-November 1977,16.34,7,5.3,1.66
September-November 1978,6.62,118,-4.42,-1.21
September-November 1979,13.81,24,2.77,1.36
September-November 1980,9.43,79,-1.61,-0.98
September-November 1981,8.54,95,-2.5,-0.77
September-November 1982,7.83,104,-3.21,-1.45
September-November 1983,13.91,22,2.87,0.45
September-November 1984,7.38,110,-3.66,-1.44
September-November 1985,13.46,29,2.42,0.86
September-November 1986,11.46,53,0.42,-0.27
September-November 1987,11.64,51,0.6,0.58
September-November 1988,11.84,48,0.8,0.08
September-November 1989,14.82,19,3.78,1.83
September-November 1990,8.65,93,-2.39,-0.44
September-November 1991,8.23,98,-2.81,-1.24
September-November 1992,10.29,68,-0.75,0.38
September-November 1993,12.39,39,1.35,0.41
September-November 1994,7.59,108,-3.45,-1.1
September-November 1995,16.15,8,5.11,1.59
September-November 1996,14.59,20,3.55,1.9
September-November 1997,8.81,90,-2.23,-0.7
September-November 1998,5.98,123,-5.06,-2.46
September-November 1999,15.22,16,4.18,1.38
September-November 2000,9.15,85,-1.89,-0.24
September-November 2001,4.86,127,-6.18,-2.67
September-November 2002,15.79,10,4.75,1.49
September-November 2003,15.57,13,4.53,1.88
September-November 2004,12.96,31,1.92,1.02
September-November 2005,17.09,4,6.05,1.81
September-November 2006,18.01,2,6.97,2.77
September-November 2007,8.83,89,-2.21,-1.32
September-November 2008,12.8,32,1.76,0.46
September-November 2009,11.85,47,0.81,0.9
September-November 2010,10.73,62,-0.31,-0.74
September-November 2011,15.14,17,4.1,1.63
September-November 2012,11.18,55,0.14,0.13
September-November 2013,7.01,116,-4.03,-1.34
September-November 2014,10.48,67,-0.56,-0.31
September-November 2015,9.92,72,-1.12,-1.01
September-November 2016,8.68,92,-2.36,-1.61
September-November 2017,8.94,86,-2.1,-0.64
September-November 2018,20.68,1,9.64,3.43
September-November 2019,8.9,87,-2.14,-0.69
September-November 2020,13.53,27,2.49,0.95
September-November 2021,12.41,38,1.37,0.74
September-November 2022,12.45,36,1.41,0.01
September-November 2023,12.45,36,1.41,0.52
September-November 2024,3.45,130,-7.59,-3.61
